smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB
CCn1cc(C(=O)O)c(=O)c2c1nc(cc2)Cc1ccccc1,2137,308.3,5,1,3,0,70.5,4,1
CC(=O)Nc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,2140,613.91,4,3,1.8,0,95.5,3,0
NCCCNCCSP(=O)(O)O,2141,214.23,6,4,-4.5,0,121,7,0
CCC1(CCC(=O)NC1=O)c1ccc(cc1)N,2145,232.28,3,2,1.2,0,72.2,2,1
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,2153,180.16,3,1,0,0,69.3,0,1
CCCCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)OCCN(CC)CC)cccc2,2157,645.3,4,0,7.6,0,42.7,11,0
CN(CCC=C1c2ccccc2CCc2c1cccc2)C,2160,277.4,1,0,5,0,3.2,3,1
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2164,226.27,3,2,2.1,0,75.3,4,1
Clc1ccc2c(c1)C(=Nc1c(O2)cccc1)N1CCNCC1,2170,313.8,3,1,2.6,0,36.9,1,1
COc1ccc(cc1)C(=O)N1CCCC1=O,2196,219.24,3,0,1.6,0,46.6,2,1
O=c1cc(n(n1c1ccccc1)C)C,2206,188.23,2,0,0.4,0,23.6,1,1
COC(=O)C1=CCCN(C1)C,2230,155.19,3,0,0.3,0,29.5,2,1
CC(=O)Oc1ccccc1C(=O)O,2244,180.16,4,1,1.2,0,63.6,3,1
COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2c(n1Cc1ccc(cc1)F)cccc2,2247,458.6,5,1,6,0,42.3,8,0
OC(=O)CCCCCCCC(=O)O,2266,188.22,4,2,1.6,0,74.6,8,0
CCC1(CC)C(=O)NC(=O)NC1=O,2294,184.19,3,2,0.6,0,75.3,2,1
CCC1(C)CC(=O)NC(=O)C1,2310,155.19,2,1,0.7,0,46.2,1,1
CCOC(=O)c1ccc(cc1)N,2337,165.19,3,1,1.9,0,52.3,3,1
CNCCc1ccccn1,2366,136.19,2,1,0.4,0,24.9,3,1
CC(C[N+](C)(C)C)OC(=O)N,2370,161.22,2,1,0,1,52.3,4,0
CNCCCCOc1ccccc1Cc1ccccc1,2377,269.4,2,1,4.1,0,21.3,8,1
OC(C1CC2CC1C=C2)(c1ccccc1)CCN1CCCCC1,2381,311.5,2,1,4.3,0,23.5,5,1
CC[N+](Cc1ccccc1Br)(C)C,2431,243.16,0,0,2.8,1,0,3,0
O=C1CN=C(c2c(N1)ccc(c2)Br)c1ccccn1,2441,316.15,3,1,1.7,0,54.4,1,1
CCN(CCNC(=O)c1cc(Br)c(cc1OC)N)CC,2446,344.25,4,2,2.8,0,67.6,7,1
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Br,2448,420.3,4,1,3.3,0,40.5,6,1
Brc1cc2c(s1)n1c(CN=C2c2ccccc2Cl)nnc1C,2451,393.7,4,0,2.8,0,71.3,1,1
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)c1ncccn1,2477,385.5,6,0,2.6,0,69.6,6,1
CS(=O)(=O)OCCCCOS(=O)(=O)C,2478,246.3,6,0,-0.5,0,104,7,1
CCC(C1(CC)C(=O)NC(=O)NC1=O)C,2479,212.25,3,2,1.6,0,75.3,3,1
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,2481,224.26,3,2,1.7,0,75.3,4,1
CCCCOC(=O)c1ccc(cc1)N,2482,193.24,3,1,2.9,0,52.3,5,1
Oc1ccc2c(c1)C13CCCCC3(C(C2)N(CC1)CC1CCC1)O,2487,327.5,3,2,3.8,0,43.7,2,1
Cn1cnc2c1c(=O)n(C)c(=O)n2C,2519,194.19,3,0,-0.1,0,58.4,0,1
O=C1CC2C(C1(C)CC2)(C)C,2537,152.23,1,0,2.2,0,17.1,0,1
NC(=O)N1c2ccccc2C=Cc2c1cccc2,2554,236.27,1,1,2.5,0,46.3,0,1
NC(=O)N1c2ccccc2C2C(c3c1cccc3)O2,2555,252.27,2,1,1.3,0,58.9,0,1
NNC(C(=O)O)(Cc1ccc(c(c1)O)O)C,2563,226.23,6,5,-2.2,0,116,4,0
NC(=O)C1(CCN(CC1)CCCN1c2ccccc2CCc2c1cccc2)N1CCCCC1,2580,446.6,4,1,4.5,0,52.8,6,1
OC(C(Cl)(Cl)Cl)O,2707,165.4,2,2,1,0,40.5,0,1
ClCCN(c1ccc(cc1)CCCC(=O)O)CCCl,2708,304.2,3,1,1.7,0,40.5,9,0
Clc1cc2NC=NS(=O)(=O)c2cc1S(=O)(=O)N,2720,295.7,6,2,-0.2,0,135,1,0
CN(CCCN1c2ccccc2Sc2c1cc(Cl)cc2)C,2726,318.9,3,0,5.2,0,31.8,4,1
CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl,2727,276.74,3,2,2.3,0,83.6,4,0
O=C1NC(c2c1cccc2)(O)c1ccc(c(c1)S(=O)(=O)N)Cl,2732,338.8,5,3,0.9,0,118,2,0
Clc1ccc2c(c1)[nH]c(=O)o2,2733,169.56,2,1,1.8,0,38.3,0,1
OC(=O)c1cc(=O)c2c(o1)cccc2,2741,190.15,4,1,1.6,0,63.6,1,1
Fc1cc2c(cc1N1CCNCC1)n(cc(c2=O)C(=O)O)C1CC1,2764,331.34,7,2,-1.1,0,72.9,3,0
COc1cc(N)c(cc1C(=O)NC1CCN(CC1)Cc1ccccc1)Cl,2780,373.9,4,2,3.2,0,67.6,5,1
O=C(C(c1ccccc1)(c1ccccc1)O)OC1C[N+]2(C)CCC1CC2,2784,352.4,3,1,3.3,1,46.5,5,0
Clc1ccc2c(c1)N(C(=O)CC(=O)N2C)c1ccccc1,2789,300.74,2,0,2.1,0,40.6,1,1
Clc1ccc2c(c1)N(CCCN1CCC(CC1)(C(=O)N)N1CCCCC1)c1ccccc1CC2,2793,481.1,4,1,5.4,0,52.8,6,1
CCOC(=O)C(Oc1ccc(cc1)Cl)(C)C,2796,242.7,3,0,3.3,0,35.5,5,0
OC(=O)C(Oc1ccc(cc1)Cl)(C)C,2797,214.64,3,1,2.6,0,46.5,3,0
CN(CCCN1c2ccccc2CCc2c1cc(Cl)cc2)C,2801,314.9,2,0,5.2,0,6.5,4,1
O=C1CN=C(c2c(N1)ccc(c2)[NH]([O])=O)c1ccccc1Cl,2802,315.71,4,1,2.4,0,87.3,1,1
Clc1cccc(c1N=C1NCCN1)Cl,2803,230.09,1,2,1.6,0,36.4,2,1
CCc1sc2c(c1)C(=NCC(=O)N2C)c1ccccc1Cl,2811,318.8,3,0,3.5,0,60.9,2,1
Clc1ccccc1C(n1cncc1)(c1ccccc1)c1ccccc1,2812,344.8,1,0,5,0,17.8,4,0
O=C1Nc2ccc(cc2C2(N(C1)CCO2)c1ccccc1Cl)Cl,2816,349.2,3,1,3.2,0,41.6,1,1
CN(CCC=C1c2ccccc2C=Cc2c1cccc2)C,2895,275.4,1,0,5.2,0,3.2,3,1
CN(/N=N/c1[nH]cnc1C(=O)N)C,2942,182.18,5,2,-0.6,0,99.7,3,1
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N,2955,248.3,4,2,1,0,94.6,2,1
Cn1ccc(=O)c(c1C)O,2972,139.15,3,1,0.5,0,40.5,0,1
CCCCn1c(=O)c2n(cnc2n(c1=O)CCCC)CC(=O)C,2984,320.39,4,0,1.9,0,75.5,8,1
CNCCCN1c2ccccc2CCc2c1cccc2,2995,266.4,2,1,4.9,0,15.3,4,1
O=C1CN=C(c2c(N1)ccc(c2)Cl)c1ccccc1,2997,270.71,2,1,2.9,0,41.5,1,1
Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,3016,284.74,2,0,3,0,32.7,1,1
CCN(CCOC(=O)C1(CCCCC1)C1CCCCC1)CC,3042,309.5,3,0,5.5,0,29.5,8,0
O=C1NC(=O)C(O1)(C)C,3081,129.11,3,1,0.1,0,55.4,0,1
CN(CCOC(c1ccccc1)c1ccccc1)C,3100,255.35,2,0,3.3,0,12.5,6,1
OCCN(c1nc(N2CCCCC2)c2c(n1)c(nc(n2)N(CCO)CCO)N1CCCCC1)CCO,3108,504.6,12,4,0.7,0,145,12,0
CCN(C(=S)SSC(=S)N(CC)CC)CC,3117,296.5,4,0,3.9,0,121,7,1
CCCC(C(=O)O)CCC,3121,144.21,2,1,2.8,0,37.3,5,1
Clc1ccc2c(c1)[nH]c(=O)n2C1CCN(CC1)CCCn1c(=O)[nH]c2c1cccc2,3151,425.9,3,2,3.9,0,67.9,5,1
CCN1CC(C(C1=O)(c1ccccc1)c1ccccc1)CCN1CCOCC1,3156,378.5,3,0,3.3,0,32.8,6,1
CN(CCOC(c1ccccn1)(c1ccccc1)C)C,3162,270.37,3,0,2.5,0,25.4,6,1
Fc1ccc(cc1)C(=O)CCCN1CCC(=CC1)n1c(=O)[nH]c2c1cccc2,3168,379.4,4,1,3.5,0,52.6,6,1
CCCCOc1ccc(cc1)C(=O)CCN1CCCCC1,3180,289.4,3,0,3.6,0,29.5,8,0
O=C(c1ccc(cc1)C(C)(C)C)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,3191,469.7,3,0,7.2,0,29.5,10,0
CCn1cc(C(=O)O)c(=O)c2c1nc(N1CCNCC1)c(c2)F,3229,320.32,8,2,-0.2,0,85.8,3,0
Clc1ccc2c(c1)C(=NCc1n2cnn1)c1ccccc1,3261,294.74,3,0,1.7,0,43.1,1,1
CCOC(=O)c1cnc2c(c1NN=C(C)C)cnn2CC,3277,289.33,6,1,2.1,0,81.4,6,1
CCC(=C)C(=O)c1ccc(c(c1Cl)Cl)OCC(=O)O,3278,303.13,4,1,3.8,0,63.6,6,0
CCOc1ccccc1C(=O)N,3282,165.19,2,1,1.2,0,52.3,3,1
CCOCC,3283,74.12,1,0,0.9,0,9.2,2,1
CC1(CC)CC(=O)NC1=O,3291,141.17,2,1,0.4,0,46.2,1,1
CCc1cc2c(s1)n1c(CN=C2c2ccccc2Cl)nnc1C,3307,342.8,4,0,2.6,0,71.3,2,1
CCC1(OCCc2c1[nH]c1c2cccc1CC)CC(=O)O,3308,287.35,3,2,2.8,0,62.3,4,0
CC(=O)OCC(CCn1cnc2c1nc(N)nc2)COC(=O)C,3324,321.33,8,1,0,0,122,9,1
NC(=Nc1scc(n1)CSCC/C(=N\S(=O)(=O)N)/N)N,3325,337.5,8,4,-0.6,0,238,7,1
NC(=O)OCC(c1ccccc1)COC(=O)N,3331,238.24,4,2,0.6,0,105,7,1
CCC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1,3345,336.5,2,0,4,0,23.6,6,1
Clc1ccc(cc1)OCC(=O)N1CCN(CC1)Cc1ccc2c(c1)OCO2,3351,388.8,5,0,3.2,0,51.2,5,1
FCCn1cc(C(=O)O)c(=O)c2c1c(F)c(N1CCN(CC1)C)c(c2)F,3357,369.34,9,1,-0.1,0,64.1,4,0
Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O,3365,306.27,7,1,0.4,0,81.6,5,1
Nc1nc(=O)[nH]cc1F,3366,129.09,3,2,-0.9,0,67.5,0,1
Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1F,3369,302.73,3,0,2.8,0,32.7,1,1
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,3372,437.5,8,1,4.4,0,55.2,6,1
CCOC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F,3373,303.29,5,0,1,0,64.4,3,1
CN1C(=O)CN=C(c2c1ccc(c2)[NH]([O])=O)c1ccccc1F,3380,313.28,5,0,2.1,0,78.5,1,1
Fc1c[nH]c(=O)[nH]c1=O,3385,130.08,3,2,-0.9,0,58.2,0,0
CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,3389,549.7,9,0,7.4,0,61.3,13,1
CCN(CCN1C(=O)CN=C(c2c1ccc(c2)Cl)c1ccccc1F)CC,3393,387.9,4,0,3,0,35.9,6,1
Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,3396,475.6,5,1,5.6,0,35.6,7,1
OCCN1C(=O)CN2C(c3c1ccc(c3)Cl)(OCC2)c1ccccc1F,3398,376.8,5,1,2.2,0,53,3,1
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1F,3400,342.8,3,0,3,0,32.7,3,1
OC(=O)P(=O)(O)O,3415,126.01,5,3,-2,0,94.8,1,1
OC(=O)c1cc(c(cc1NCc1ccco1)Cl)S(=O)(=O)N,3440,330.74,7,3,2,0,131,5,0
NCC1(CCCCC1)CC(=O)O,3446,171.24,3,2,-1.1,0,63.3,3,1
Oc1noc2c1CCNC2,3448,140.14,3,2,-0.9,0,50.4,0,1
Oc1ccc(c(c1)C(=O)O)O,3469,154.12,4,3,1.6,0,77.8,1,1
CCC1(CCC(=O)NC1=O)c1ccccc1,3487,217.26,2,1,1.9,0,46.2,2,1
O=C(C(c1ccccc1)(C1CCCC1)O)OC1CC[N+](C1)(C)C,3494,318.4,3,1,3.1,1,46.5,5,0
NC(=N)NCCN1CCCCCCC1,3518,198.31,2,2,0.5,0,67.6,3,0
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)(O)c1ccc(cc1)Cl,3559,375.9,4,1,3.2,0,40.5,6,1
O=C1Nc2ccc(cc2C2(N(C1)CCO2)c1ccccc1F)Br,3563,377.2,4,1,2.8,0,41.6,1,1
O=C1NC(=O)C(C(=O)N1C)(C)C1=CCCCC1,3608,236.27,3,1,1.5,0,66.5,1,1
NNc1nncc2c1cccc2,3637,160.18,4,2,0.7,0,63.8,1,0
Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,3639,297.7,7,3,-0.1,0,135,1,0
FC(c1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N)(F)F,3647,331.3,10,3,0.4,0,135,1,0
NC(=O)NO,3657,76.055,2,3,-1.8,0,75.4,0,1
NNCCc1ccccc1,3675,136.19,2,2,1.2,0,38,3,1
CCN(CC(=O)Nc1c(C)cccc1C)CC,3676,234.34,2,1,2.3,0,32.3,5,0
CN(CCCN1c2ccccc2CCc2c1cccc2)C,3696,280.4,2,0,4.8,0,6.5,4,1
COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,3715,357.8,4,1,4.3,0,68.5,4,1
OCC(c1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C,3746,332.5,3,1,2.6,1,46.5,6,0
CC(NNC(=O)c1ccncc1)C,3748,179.22,3,2,0.4,0,54,3,1
Cc1onc(c1)C(=O)NNCc1ccccc1,3759,231.25,4,2,1.5,0,67.2,4,1
NNC(=O)c1ccncc1,3767,137.14,3,2,-0.7,0,68,1,1
CC(O)C,3776,60.1,1,1,0.3,0,20.2,0,1
CNC1(CCCCC1=O)c1ccccc1Cl,3821,237.72,2,1,2.2,0,29.1,2,1
OC(=O)c1cc(=O)c2c([nH]1)cccc2,3845,189.17,4,2,1.3,0,66.4,1,1
Nc1nnc(c(n1)N)c1cccc(c1Cl)Cl,3878,256.09,5,2,1.4,0,90.7,1,1
O=C1N(c2ccccc2)c2c(C1(Cc1ccncc1)Cc1ccncc1)cccc2,3932,391.5,3,0,4.1,0,46.1,5,1
CN(CC(=O)c1ccc(cc1)Cl)CCCN1c2ccccc2CCc2c1cccc2,3947,419,3,0,6.8,0,23.6,7,1
Clc1ccc(cc1)C1(O)CCN(CC1)CCC(C(=O)N(C)C)(c1ccccc1)c1ccccc1,3955,477,3,1,5,0,43.8,7,0
CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,3957,382.9,3,0,5.2,0,42.4,2,1
CCCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1nnn[nH]1)CO)Cl,3961,422.9,5,2,4.3,0,92.5,8,0
CN1CCN(CC1)C1=Nc2ccccc2Oc2c1cc(Cl)cc2,3964,327.8,3,0,3.1,0,28.1,1,1
CNCCCC12CCC(c3c1cccc3)c1c2cccc1,4011,277.4,1,1,4.6,0,12,4,1
Clc1ccc(cc1)C1(O)c2ccccc2C2=NCCN12,4020,284.74,2,1,2.2,0,35.8,1,1
OC(=O)c1ccccc1Nc1c(Cl)ccc(c1Cl)C,4037,296.1,3,2,5.2,0,49.3,3,0
CN(CCOC(=O)COc1ccc(cc1)Cl)C,4039,257.71,4,0,2.5,0,38.8,7,1
Clc1ccc2c(c1)C(=NCCN2C)c1ccccc1,4041,270.75,2,0,4.4,0,15.6,1,1
OC(=O)c1ccccc1Nc1cccc(c1C)C,4044,241.28,3,2,5.1,0,49.3,3,0
CCN(CCNC(=O)COc1ccc(cc1)OC)CC,4045,280.36,4,1,2,0,50.8,9,1
CC12C[C@@H]3CC(C1)(C)CC(C2)(C3)N,4054,179.3,1,1,3.3,0,26,0,1
O=C(C(c1ccccc1)(c1ccccc1)O)OC1CCC[N+](C1)(C)C,4057,340.4,3,1,3.2,1,46.5,5,0
CCOC(=O)C1(CCN(CC1)C)c1ccccc1,4058,247.33,3,0,2.5,0,29.5,4,1
CCC1(NC(=O)N(C1=O)C)c1ccccc1,4060,218.25,2,1,1.5,0,49.4,2,1
CCCC(COC(=O)N)(COC(=O)N)C,4064,218.25,4,2,0.7,0,105,8,1
c1ccc2c(c1)N(CC1CN3CCC1CC3)c1c(S2)cccc1,4066,322.5,3,0,4.6,0,31.8,2,1
NCCc1cc(OC)c(c(c1)OC)OC,4076,211.26,4,1,0.7,0,53.7,5,1
CC[N+](CCOC(=O)C1c2ccccc2Oc2c1cccc2)(CC)C,4097,340.4,3,0,3.3,1,35.5,7,0
CN(CCN(c1ccccn1)Cc1cccs1)C,4098,261.39,4,0,2.6,0,47.6,6,1
CCC1(CC)C(=O)NC(=O)N(C1=O)C,4099,198.22,3,1,1.2,0,66.5,2,1
COC(C(Cl)Cl)(F)F,4116,164.96,3,0,2.2,0,9.2,2,1
OC(=O)C(Cc1ccc(c(c1)O)O)(N)C,4138,211.21,5,4,-1.9,0,104,3,0
OCCn1c(C)ncc1[NH]([O])=O,4173,171.15,4,1,0,0,83.9,2,1
Clc1ccc2c(c1)C(=NCc1n2c(C)nc1)c1ccccc1F,4192,325.8,3,0,2.5,0,30.2,1,1
Cc1cc(nnc1NCCN1CCOCC1)c1ccccc1,4199,298.4,5,1,2,0,50.3,5,1
O=C(c1ccc(cc1)Cl)NCCN1CCOCC1,4235,268.74,3,1,1.5,0,41.6,4,1
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,4236,273.4,3,1,1.7,0,79.4,5,1
Cc1ccc(cc1)C1(O)CCN(CC1)CCCC(=O)c1ccc(cc1)F,4249,355.4,4,1,3,0,40.5,6,1
CCn1cc(C(=O)O)c(=O)c2c1nc(C)cc2,4421,232.23,5,1,1.4,0,70.5,2,0
C=C1CCC2(C34C1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,4422,339.4,4,2,2.7,0,52.9,2,1
O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)CC2CC2)ccc1O)O,4428,341.4,5,2,1.9,0,70,2,1
CCc1nn(c(=O)n1CCOc1ccccc1)CCCN1CCN(CC1)c1cccc(c1)Cl,4449,470,5,0,4.3,0,51.6,10,1
O=C(NCc1ccccc1)CCNNC(=O)c1ccncc1,4472,298.34,4,3,0.9,0,83.1,7,1
COC(=O)C1=C(C)NC(=C(C1c1ccccc1N(=O)=O)C(=O)OC)C,4485,346.3,7,1,2.2,0,110,5,0
CN1C(=O)CN=C(c2c1ccc(c2)[NH]([O])=O)c1ccccc1,4496,295.29,4,0,2.2,0,78.5,1,1
O=C1CN=C(c2c(N1)ccc(c2)[NH]([O])=O)c1ccccc1,4506,281.27,4,1,2.2,0,87.3,1,1
CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCNCC1)c(c2)F,4539,319.33,7,2,-1,0,72.9,3,0
CNCCC=C1c2ccccc2CCc2c1cccc2,4543,263.4,1,1,4.5,0,12,3,1
COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,4594,345.4,6,1,2.2,0,96.3,5,1
OC(=O)CCc1nc(c(o1)c1ccccc1)c1ccccc1,4614,293.3,4,1,4.2,0,63.3,5,0
COc1ccc2c3c1OC1C43CCN(C(C2)C4(O)CCC1=O)C,4635,315.4,5,1,1.2,0,59,1,1
O=C1CCC2(C34C1Oc1c4c(CC2N(CC3)C)ccc1O)O,4639,301.34,5,2,0.8,0,70,0,1
COc1cc2c(cc1OC)[nH]c(c2CCN1CCN(CC1)c1ccccc1)C,4640,379.5,4,1,4.3,0,40.7,6,1
Nc1ccc(c(c1)O)C(=O)O,4649,153.14,4,3,1.3,0,83.6,1,0
COc1ccc(cc1OC)Cc1nccc2c1cc(OC)c(c2)OC,4680,339.4,5,0,3.9,0,49.8,6,0
Cn1cnc2c1c(=O)n(c(=O)[nH]2)C,4687,180.16,3,1,-0.2,0,67.2,0,1
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,4748,404,5,1,4.2,0,55.2,6,1
O=C(Cc1ccccc1)NC(=O)N,4753,178.19,2,2,0.9,0,72.2,2,1
CCOc1ccc(cc1)NC(=O)C,4754,179.22,2,1,1.6,0,38.3,3,1
Nc1ccc(c(n1)N)/N=N/c1ccccc1,4756,213.24,5,2,1.9,0,89.6,2,0
CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,4763,232.23,3,2,1.5,0,75.3,2,1
Oc1ccc(cc1)C1(OC(=O)c2c1cccc2)c1ccc(cc1)O,4764,318.3,4,2,3.6,0,66.8,2,0
NC(=O)OCCCc1ccccc1,4770,179.22,2,1,2,0,52.3,5,1
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,4781,308.4,2,0,3.2,0,40.6,5,1
CN1CCC(=C2c3ccccc3Sc3c2cccc3)CC1,4822,293.4,2,0,3.9,0,28.5,0,1
O=C(c1ccc(cc1)F)CCCN1CCC(CC1)(N1CCCCC1)C(=O)N,4830,375.5,5,1,2,0,66.6,7,1
NC(=O)CN1CCCC1=O,4843,142.16,2,1,-1.3,0,63.4,2,1
CN1CCN(CC1)CC(=O)n1c2ccccc2c(=O)[nH]c2c1nccc2,4848,351.4,5,1,0.1,0,68.8,2,1
c1cnc(nc1)N1CCN(CC1)Cc1ccc2c(c1)OCO2,4850,298.34,6,0,1.8,0,50.7,3,1
Clc1ccc2c(c1)C(=NCC(=O)N2CC1CC1)c1ccccc1,4890,324.8,2,0,3.6,0,32.7,3,1
CCC1(C(=O)NCNC1=O)c1ccccc1,4909,218.25,2,2,0.9,0,58.2,2,1
CCCN(S(=O)(=O)c1ccc(cc1)C(=O)O)CCC,4911,285.36,5,1,3.2,0,83.1,7,0
CCN(CCOC(=O)c1ccc(cc1)N)CC,4914,236.31,4,1,1.9,0,55.6,7,1
CNNCc1ccc(cc1)C(=O)NC(C)C,4915,221.3,3,3,0.1,0,53.2,5,1
CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,4917,373.9,4,0,4.9,0,35,4,1
OC(c1ccccc1)(C1CCCCC1)CCN1CCCC1,4919,287.4,2,1,4.1,0,23.5,5,1
CN(CCCN1c2ccccc2Sc2c1cccc2)C,4926,284.4,3,0,4.5,0,31.8,4,1
O=C(C1c2ccccc2Oc2c1cccc2)OCC[N+](C(C)C)(C(C)C)C,4934,368.5,3,0,4.2,1,35.5,7,0
CC(c1cccc(c1O)C(C)C)C,4943,178.27,1,1,3.8,0,20.2,2,1
CNCCCC1c2ccccc2C=Cc2c1cccc2,4976,263.4,1,1,4.4,0,12,4,1
C[n+]1cccc(c1)OC(=O)N(C)C,4991,181.21,2,0,0.7,1,33.4,2,1
COc1ccc(cc1)CN(c1ccccn1)CCN(C)C,4992,285.4,4,0,3.3,0,28.6,7,1
CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,4993,248.71,4,2,2.7,0,77.8,2,1
CCC1(CC)C(=O)NC=CC1=O,4994,167.2,2,1,1,0,46.2,2,1
Clc1ccc2c(c1)C(=NCC(=S)N2CC(F)(F)F)c1ccccc1F,4999,386.8,6,0,4,0,47.7,2,1
OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2c1cccc2,5002,383.5,5,1,2.1,0,73.6,6,1
NCC(=O)NCc1nc(nn1c1ccc(cc1C(=O)c1ccccc1Cl)Cl)C(=O)N(C)C,5069,475.3,6,2,2.3,0,123,7,1
Nc1nc2c(s1)cc(cc2)OC(F)(F)F,5070,234.2,7,1,3.6,0,76.4,1,1
Fc1ccc2c(c1)onc2C1CCN(CC1)CCc1c(C)nc2n(c1=O)CCCC2,5073,410.5,6,0,2.7,0,61.9,4,1
