smiles,cid,Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,Number_of_Rotatable_bonds,BBB,,cid,,,cid
CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,4078,386.6,5,0,4.5,0,68.1,4,1,,3767,,,4991
CC1(C)SC2C(NC(=O)C(N=C)c3ccccc3)C(=O)N2C1C(O)=O METAMPICILLIN,4084,361.4,6,2,3,0,124,5,0,,3776,,,4992
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,4095,309.4,2,0,3.9,0,20.3,7,1,,3821,,,4993
CN(C)CCN(Cc1sccc1)c1ccccn1,4098,261.39,4,0,2.6,0,47.6,6,1,,3845,,,5039
CCC1(CC)C(=O)NC(=O)N(C)C1=O,4099,198.22,3,1,1.2,0,66.5,2,1,,3878,,,5064
CSc1ccc2c(c1)C(Cc1ccccc1S2)N1CCN(C)CC1,4106,356.6,4,0,4.2,0,57.1,2,1,,3932,,,5073
COC(F)(F)C(Cl)Cl,4116,164.96,3,0,2.2,0,9.2,2,1,,3947,,,5076
COC(=O)C(C1CCCCN1)c1ccccc1,4158,233.31,3,1,0.2,0,38.3,4,1,,3955,,,5095
CCC1(CC)C(=O)NCC(C)C1=O,4162,183.25,2,1,0.8,0,46.2,2,1,,3957,,,5155
Cc1ncc(n1CCO)[N+]([O-])=O,4173,171.15,4,1,0,0,83.9,2,1,,3961,,,5206
CC1COC2(N1CC(=O)Nc1ccc(cc12)Cl)c1ccccc1Cl,4177,363.2,3,1,3.7,0,41.6,1,1,,3964,,,5215
CC(N)COc1c(cccc1C)C,4178,179.26,2,1,2.1,0,35.2,3,1,,4011,,,5253
CN1CCN2C(C1)c1ccccc1Cc1ccccc21,4184,264.4,2,0,3.4,0,6.5,0,1,,4020,,,5257
Clc1ccc(c(c1)Cl)COC(Cn1ccnc1)c1ccc(cc1Cl)Cl,4189,416.1,2,0,5.3,0,27,6,1,,4037,,,5297
Cc1ncc2n1c1ccc(cc1C(=NC2)c1ccccc1F)Cl,4192,325.8,3,0,2.5,0,30.2,1,1,,4039,,,5300
Cc1cc(nnc1NCCN1CCOCC1)c1ccccc1,4199,298.4,5,1,2,0,50.3,5,1,,4041,,,5329
CN1CCN2C(C1)c1ccccc1Cc1cccnc21,4205,265.35,3,0,3.3,0,19.4,0,1,,4044,,,5376
Clc1ccc(cc1)C(=O)NCCN1CCOCC1,4235,268.74,3,1,1.5,0,41.6,4,1,,4045,,,5391
NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,4236,273.4,3,1,1.7,0,79.4,5,1,,4054,,,5396
Cc1ccc(cc1)C1(O)CCN(CCCC(=O)c2ccc(cc2)F)CC1,4249,355.4,4,1,3,0,40.5,6,1,,4057,,,5402
Clc1ccc2c(c1)N(CCCN1CCC3(CC1)N1CCCCC1NC3=O)c1ccccc1CC2,4257,479.1,4,1,5.4,0,38.8,4,1,,4058,,,5408
CN(CCCOc1ccc(cc1Cl)Cl)CC#C,4380,272.17,2,0,4.2,0,12.5,6,1,,4060,,,5452
CCN1C=C(C(O)=O)C(=O)c2ccc(nc12)C NALIDIXIC-ACID,4421,232.23,5,1,1.4,0,70.5,2,0,,4064,,,5453
CCC1=NN(CCCN2CCN(CC2)c2cccc(c2)Cl)C(=O)N1CCOc1ccccc1,4449,470,5,0,4.3,0,51.6,10,1,,4066,,,5470
CN1CCOC(c2ccccc2)c2ccccc2C1,4450,253.34,2,0,2.9,0,12.5,1,1,,4076,,,5515
O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,4472,298.34,4,3,0.9,0,83.1,7,1,,4097,,,5556
COC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1)C,4474,479.5,8,1,3.8,0,114,10,0,,4098,,,5566
COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC)C,4485,346.3,7,1,2.2,0,110,5,0,,4099,,,5578
CN1C(=O)CN=C(c2ccccc2)c2cc(ccc12)[N+]([O-])=O,4496,295.29,4,0,2.2,0,78.5,1,1,,4116,,,5582
CNCCC(Oc1ccccc1OC)c1ccccc1,4500,271.35,3,1,3.1,0,30.5,7,1,,4138,,,5625
[O-][N+](=O)c1ccc2c(c1)C(=NCC(=O)N2)c1ccccc1,4506,281.27,4,1,2.2,0,87.3,1,1,,4173,,,5651
CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC)C,4507,360.4,7,1,2.9,0,110,6,0,,4192,,,5718
CN1CC(c2ccccc2)c2cccc(c2C1)N,4528,238.33,2,1,2.6,0,29.3,1,1,,4199,,,5726
NCC(O)c1cccc(c1)O NORFENEFRINE,4538,153.18,3,3,-0.8,0,66.5,2,0,,4235,,,5734
CCN1C=C(C(O)=O)C(=O)c2cc(c(cc12)N1CCNCC1)F,4539,319.33,7,2,-1,0,72.9,3,0,,4236,,,6468
CNCCC=C1c2ccccc2CCc2ccccc12,4543,263.4,1,1,4.5,0,12,3,1,,4249,,,6503
Cn1c2c(c3ccccc13)C(=O)C(CC2)Cn1ccnc1C,4595,293.4,2,0,2.3,0,39.8,2,1,,4421,,,8982
CN(C)CCOC(c1ccccc1)c1ccccc1C ORPHENADRINE,4601,269.4,2,0,3.8,0,12.5,6,0,,4422,,,9034
OC1N=C(c2ccccc2)c2cc(ccc2NC1=O)Cl,4616,286.71,3,2,2.2,0,61.7,1,1,,4428,,,17358
CC1CN2CC(=O)Nc3ccc(cc3C2(O1)c1ccccc1)Cl,4617,328.8,3,1,3,0,41.6,1,1,,4449,,,30623
NC(=O)CN1CC(O)CC1=O,4626,158.16,3,2,-2.2,0,83.6,2,1,,4472,,,50614
COc1ccc2c(c1OC)C13CCN(C)C(C2)C3(O)CCC(O)C1,4637,333.4,5,2,1.6,0,62.2,2,1,,4485,,,60787
